Function Name,Number of nodes,Average of 3 runs
decrypt_data_v1,10,0.29085896666666644
decrypt_data_v2,10,0.43494786666666635
decrypt_data_v1,20,0.29456486666667087
decrypt_data_v2,20,0.2973331000000054
decrypt_data_v1,30,0.25882983333333226
decrypt_data_v2,30,0.2740744333333301
decrypt_data_v1,40,0.35278339999998326
decrypt_data_v2,40,0.4779481000000108
decrypt_data_v1,50,0.3337978000000324
decrypt_data_v2,50,0.3933876666666644
decrypt_data_v1,60,0.34411933333331035
decrypt_data_v2,60,0.33381179999999705
decrypt_data_v1,70,0.3015562000002016
decrypt_data_v2,70,0.3451842666666683
decrypt_data_v1,80,0.4494258000001234
decrypt_data_v2,80,0.6670069666664252
decrypt_data_v1,90,0.3190263333344774
decrypt_data_v2,90,0.34907589999905514
decrypt_data_v1,100,0.3112433000011758
decrypt_data_v2,100,0.37399153333293117
